method_id,method_citation,variables.name,method_notes
369,Adachi et al 2006,Rsoil_annual,Chamber
380,Aide et al 1995; Chan et al 2013; Saldarriaga 1988; Sierra 2007; Sierra 2012; Uhl and Jordan 1984; Uhl et al 1987,Biomass_ag,"Harvest, allometric relations"
396,Alves et al 1997; Malhi 2014; Steininger 2000; Uhl 1988,Biomass_ag/C_ag,"Measured DBH, height; Allometric relations"
425,Alves et al 1997; Malhi et al 2014,ANPP_stem,"Measured DBH, height; Allometric relations"
237,Aragao et al 2005,BNPP_coarse root,0.21*NPPstem (Malhi et al 2009)
238,Aragao et al 2005,BNPP_fine root,In-growth core
239,Aragao et al 2005,NPP,"includes foliage, stem, coarse root, fine root, branch production as detailed in methodology source. Allometric relation for aboveground biomass"
324,Behera et al 1990,R_het_annual,root regression model
325,Behera et al 1990,Rsoil_annual,Alkali
387,Broadbent et al 2014,Biomass_ag,"Measured DBH, height, crown exposure; allometric relations"
394,Broadbent et al 2014,SOC,soil cores
314,Buchmann 2000,R_het_annual,Mass balance
315,Buchmann 2000,Rsoil_annual,Chamber
7,Chambers et al 2004,GPP,NPP + direct measurements of Ra
8,Chambers et al 2004,NEP,NPP - direct measurements of Rh
9,Chambers et al 2004,Reco,Direct measurement of the components of Reco with chambers compared with Reco from eddy covariance
156,Chambers et al 2004,NPP,"includes foliage, stem, fine root, branch production as detailed in methodology source."
143,Clark et al 2001,ANPP_stem,"includes foliage, stem, branch production as detailed in methodology source."
354,Cleveland & Townsend 2006,Rsoil_annual,Chamber
271,Davidson et al 2002,Rsoil_annual,Chamber
388,Delaney et al 1997,Organic_layer,Litter sampled and weighed
389,Delaney ey al. 1997,Deadwood,down dead wood sampled using line intersect method (Brown 1974); standing dead wood using allometric relations subtracting 10%
390,Delaney ey al. 1997,SOC,soil pit and cores
391,Delaney ey al. 1997,Biomass_root_total,"root biomass from root-to-shoot ratios (0.48 dry forests, 0.22 montane moist, 0.16 lowland moist; Sanford and Cuevas 1996)"
392,Delaney ey al. 1997,Biomass_total,"See 385, 391"
393,Delaney ey al. 1997,Ecosystem_2,"See 385, 388-391"
414,Egunjobi et al 1979,Biomass_ags,Harvesting
418,Egunjobi et al 1979,Biomass_root_total,Root weight was estimated by proportion from the rela- tionship in the two destructively sampled trees
378,Egunjobi et al 1979; Gehring et al 1999,Biomass_ag,Harvesting
415,Egunjobi et al 1979; Gehring et al 1999,Biomass_foliage,Harvesting
417,Egunjobi et al 1979; Hughes et al 1999,Organic_layer,Harvesting
410,Egunjobi et al 1979; Saldarriaga et al 1988; Uhl and Jordan 1984; Uhl et al 1987,Biomass_total,Summation of biomass components
288,Epron et al 2006,R_het_annual,measured in gap (clearcut)
289,Epron et al 2006,Rsoil_annual,Chamber
416,Gehring et al 1999,Deadwood,Harvesting
10,Giardina et al 2003,GPP,ANPP + BNPP (Raich & Nadelhoffer) + direct measurements of Ra
95,Giardina et al 2003,NPP,"includes foliage, stem, coarse root, fine root, branch, voc, repro production as detailed in methodology source."
185,Grimm & Fassbender 1999,BNPP_fine root,"Soil cores, fine root biomass, turnover"
186,Grimm & Fassbender 1999,NPP,"includes foliage, stem, coarse root, fine root, branch, understory production as detailed in methodology source."
395,Hughes et al 1999,SOC,Soil samples at 5 depths and surface soils and mineral soils
432,Hughes et al 1999,Deadwood,Measured DBH; Allometric relations
385,Hughes et al 1999; Zarin et al 2001; Gehring et al 2005; Letcher et al 2009; Becknell et al 2014; Delaney et al 1997; Baker et al 2004; ,Biomass_ag,Measured DBH; Allometric relations
434,Kadeba 1991,ANPP,ANPP is mean periodic aboveground production plus mean annual litterfall
437,Kira 1978 in Clark 2013,ANPP_folivory,"from caterpillar frass in littertraps, and assuming 13% efficiency; this = 4.4% of leaf prod."
441,Kira et al. 1998 (ORNL),ANPP_folivory,"Leaf herbivory rate (grazing by caterpillars, assuming efficiency of assimilation at 13%)"
381,Lewis et al 2009,Biomass_ag,"measure the diameter of all trees that are¾100¾mm in diameter in a given area (mean 2.1¾ha) at least twice (mean interval 9.4¾years), and apply allometric equations to convert tree-diameter measurements to carbon content"
302,Li et al 2004,R_het_annual,Trenching
303,Li et al 2004,Rsoil_annual,Alkali trapping
382,Lugo et al 1992,ANPP,ANPP was calculated by adding tree biomass increment and litterfall during the period of measurement. Aboveground tree biomass was estimated allometrically using tree inventory data and biomass-diameter relation
382.1,Lugo et al 1992,Biomass_ag,Aboveground tree biomass was estimated allometrically using tree inventory data and biomass-diameter relation
